backbone_id	mean_jump_distance_km	max_jump_distance_km	jump_distance_dispersion_km	interregional_leap_count	long_jump_label
AB071	0.0	0.0	0.0	3	1.0
AE234	0.0	0.0	0.0	5	
AD464	0.0	0.0	0.0	4	
AB445	0.0	0.0	0.0	5	
AD338	0.0	0.0	0.0	5	
AD484	0.0	0.0	0.0	3	
AC978	0.0	0.0	0.0	4	1.0
AA327	0.0	0.0	0.0	4	
AA106	0.0	0.0	0.0	5	
AA044	0.0	0.0	0.0	0	
AA473	0.0	0.0	0.0	3	1.0
AA626	0.0	0.0	0.0	2	1.0
AA677	0.0	0.0	0.0	3	
AH156	0.0	0.0	0.0	3	
AC228	0.0	0.0	0.0	2	1.0
AF572	0.0	0.0	0.0	2	
AB447	0.0	0.0	0.0	4	
AA772	0.0	0.0	0.0	4	
AG635	0.0	0.0	0.0	1	
AB659	0.0	0.0	0.0	0	
AG926	0.0	0.0	0.0	1	
AB037	0.0	0.0	0.0	3	
AF581	0.0	0.0	0.0	1	
AA214	0.0	0.0	0.0	1	
AA215	0.0	0.0	0.0	1	
AA208	0.0	0.0	0.0	1	
AC751	0.0	0.0	0.0	1	1.0
AC755	0.0	0.0	0.0	2	
AE050	0.0	0.0	0.0	3	1.0
AA018	0.0	0.0	0.0	5	1.0
AA964	0.0	0.0	0.0	5	1.0
AC206	0.0	0.0	0.0	3	
AA469	0.0	0.0	0.0	3	
