backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AE787	6	1.0	5.0						
AB628	7	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AC796	9	3.0	4.0						
AB947	7	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AC888	8	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AB720	8	4.0	4.0	0.0	0.0	1.0	0.0	1.0	3.0
AA841	3	3.0	6.0						
AB697	3	3.0	6.0						
AA050	9	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AA849	5	1.0	4.0						
AB045	18	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AA274	21	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AC759	1	7.0							
AB120	2	2.0							
AC887	3	6.0	8.0						
AB643	7	1.0	6.0						
AA010	9	2.0	5.0						
AD644	3	4.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0
AA316	17	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA374	21	2.0	4.0						
AA046	17	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AB157	2	2.0							
AD308	2	4.0							
AE803	3	4.0	8.0						
AC863	3	1.0	6.0						
AB695	13	1.0	5.0						
AB448	10	4.0	4.0						
AG846	2	3.0							
AA754	3	1.0	6.0						
AB692	5	3.0	5.0						
AB062	6	4.0	5.0						
AD507	1	1.0							
AD506	0								
AA941	20	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AC611	1	1.0							
AD680	2	3.0							
AF650	0								
AB461	17	1.0	2.0						
AB712	7	3.0	5.0						
AA102	12	2.0	4.0						
AA188	2	1.0							
