backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	spread_severity_bin	weighted_new_country_burden	rarity_weighted_new_country_burden	exposure_years	new_country_rate_per_year	weighted_new_country_rate_per_year	rarity_weighted_new_country_rate_per_year	first_event_speed_score	third_event_speed_score	fast_or_broad_expansion_label
AA018	21	2.0	2.0	3.0	3.4984195678166934	20.336555124265423	8	2.625	0.4373024459770867	2.542069390533178	0.3333333333333333	0.3333333333333333	
AA019	12	1.0	4.0		1.1170310056270387	11.186980534668196	8	1.5	0.1396288757033798	1.3983725668335245	0.5	0.2	
AA020	1	4.0			0.037062465833055	0.8061251664447404	8	0.125	0.0046328082291318	0.1007656458055925	0.2	0.0	
AA021	10	1.0	4.0		0.8626810597162542	9.208853039945769	8	1.25	0.1078351324645317	1.151106629993221	0.5	0.2	
AA022	8	3.0	5.0		0.5935868753593845	7.164189843040365	8	1.0	0.074198359419923	0.8955237303800456	0.25	0.1666666666666666	
AA023	2	3.0			0.0832990911826056	1.7191410426922764	8	0.25	0.0104123863978257	0.2148926303365345	0.25	0.0	
AA024	4	3.0	5.0		0.1717658612360576	3.488709589567615	8	0.5	0.0214707326545072	0.4360886986959518	0.25	0.1666666666666666	
AA025	1	7.0			0.0218634734723313	0.8250543569158723	8	0.125	0.0027329341840414	0.103131794614484	0.125	0.0	
AA026	8	4.0	5.0	3.0	0.5787230428517426	7.549169592399016	8	1.0	0.0723403803564678	0.943646199049877	0.2	0.1666666666666666	
AA027	6	2.0	5.0		0.2853032277717804	5.208716786540152	8	0.75	0.0356629034714725	0.651089598317519	0.3333333333333333	0.1666666666666666	
AA028	3	3.0	6.0		0.1401885002819062	2.563314282575838	8	0.375	0.0175235625352382	0.3204142853219797	0.25	0.1428571428571428	
AA029	1	1.0			0.0500626174321758	0.747148288973384	8	0.125	0.0062578271790219	0.093393536121673	0.5	0.0	
AA030	1	4.0			0.0368354734341878	0.803728362183755	8	0.125	0.0046044341792734	0.1004660452729693	0.2	0.0	
AA031	3	3.0	5.0		0.1966752606260801	2.6717200403861043	8	0.375	0.02458440757826	0.333965005048263	0.25	0.1666666666666666	
AA032	4	1.0	7.0		0.3089207499988619	3.6396937023789255	8	0.5	0.0386150937498577	0.4549617127973657	0.5	0.125	
AA033	4	1.0	5.0		0.1995719543387361	3.3808807961736216	8	0.5	0.024946494292342	0.4226100995217027	0.5	0.1666666666666666	
AA034	2	4.0			0.0979201956123404	1.7749018590106884	8	0.25	0.0122400244515425	0.221862732376336	0.2	0.0	
AA035	16	4.0	5.0	3.0	1.9348319152322209	15.028861106318612	8	2.0	0.2418539894040275	1.878607638289827	0.2	0.1666666666666666	
AA036	7	1.0	4.0		0.4338389944324796	6.190580906716196	8	0.875	0.0542298743040599	0.7738226133395245	0.5	0.2	
AA037	3	3.0	7.0		0.1617187574148318	2.605109917488372	8	0.375	0.0202148446768539	0.3256387396860465	0.25	0.125	
AA038	35	1.0	2.0	3.0	7.915832316451337	34.53014392717632	8	4.375	0.9894790395564173	4.31626799089704	0.5	0.3333333333333333	
AA039	1	4.0			0.0368354734341878	0.803728362183755	8	0.125	0.0046044341792734	0.1004660452729693	0.2	0.0	
AA040	0			0.0	0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA041	1	2.0			0.0469323254463932	0.7843230403800475	8	0.125	0.0058665406807991	0.0980403800475059	0.3333333333333333	0.0	
AA042	3	5.0	6.0		0.1086104459548862	2.5573992122085496	8	0.375	0.0135763057443607	0.3196749015260687	0.1666666666666666	0.1428571428571428	
AA043	1	5.0		1.0	0.0816496580927726	0.983865763149403	8	0.125	0.0102062072615965	0.1229832203936753	0.1666666666666666	0.0	
AA044	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA045	14	1.0	4.0	3.0	1.987267416165062	13.301501207170473	8	1.75	0.2484084270206327	1.6626876508963089	0.5	0.2	
AA046	17	1.0	2.0	3.0	2.491607785583968	16.167120185461798	8	2.125	0.311450973197996	2.0208900231827247	0.5	0.3333333333333333	
AA047	3	4.0	7.0		0.203207230892072	2.663934911545386	8	0.375	0.025400903861509	0.3329918639431732	0.2	0.125	
AA048	7	4.0	5.0		1.3342470877906825	6.525560090422844	8	0.875	0.1667808859738353	0.8156950113028555	0.2	0.1666666666666666	
AA049	1	5.0			0.0222772959677056	0.7832634183069808	8	0.125	0.0027846619959632	0.0979079272883726	0.1666666666666666	0.0	
AA050	9	3.0	5.0	3.0	0.692687001141911	8.25894739223467	8	1.125	0.0865858751427388	1.0323684240293338	0.25	0.1666666666666666	
AA051	4	5.0	7.0		0.4289281880169663	3.542577849604559	8	0.5	0.0536160235021207	0.4428222312005698	0.1666666666666666	0.125	
AA052	2	5.0			0.1653606338182959	1.966632823550693	8	0.25	0.0206700792272869	0.2458291029438365	0.1666666666666666	0.0	
AA053	4	4.0	6.0		0.2410005818605332	3.71059896983298	8	0.5	0.0301250727325666	0.4638248712291225	0.2	0.1428571428571428	
AA054	4	3.0	5.0		0.3415742465124751	3.43271201656687	8	0.5	0.0426967808140593	0.4290890020708587	0.25	0.1666666666666666	
AA055	1	5.0			0.0242821465589316	0.8175755620092503	8	0.125	0.0030352683198664	0.1021969452511562	0.1666666666666666	0.0	
AA056	8	2.0	5.0		0.5058880919207616	7.146671816978355	8	1.0	0.0632360114900952	0.8933339771222943	0.3333333333333333	0.1666666666666666	
AA057	6	2.0	5.0		0.4438403498096253	5.533326386760714	8	0.75	0.0554800437262031	0.6916657983450892	0.3333333333333333	0.1666666666666666	
AA058	2	3.0			0.4971512124438502	1.949722577948556	8	0.25	0.0621439015554812	0.2437153222435695	0.25	0.0	
AA059	1	6.0			0.023014365447458	0.7719531344365261	8	0.125	0.0028767956809322	0.0964941418045657	0.1428571428571428	0.0	
AA060	2	5.0			0.4001459018465068	1.9817725542788092	8	0.25	0.0500182377308133	0.2477215692848511	0.1666666666666666	0.0	
AA061	4	1.0	8.0		0.4524779062361126	3.839382810742363	8	0.5	0.056559738279514	0.4799228513427954	0.5	0.1111111111111111	
AA062	1	4.0		1.0	0.196116135138184	0.993075898801598	8	0.125	0.024514516892273	0.1241344873501997	0.2	0.0	
