backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AB429	3	0.0	0.0	1.0	0.3
AB541	3	0.0	0.0	1.0	0.3
AB561	3	0.0	0.0	1.0	0.3
AB578	3	0.0	0.0	1.0	0.3
AB592	3	0.0	0.0	1.0	0.3
AB648	3	0.0	0.0	1.0	0.3
AB649	3	0.0	0.0	1.0	0.3
AB672	3	0.0	0.0	1.0	0.3
AB674	3	0.0	0.0	1.0	0.3
AB679	3	0.0	0.0	1.0	0.3
AB745	3	0.0	0.0	1.0	0.3
AB772	3	0.0	0.0	1.0	0.3
AB804	3	0.0	0.0	1.0	0.3
AB808	3	0.0	0.0	1.0	0.3
AB860	3	0.0	0.0	1.0	0.3
AB872	3	0.0	0.0	1.0	0.3
AC021	3	0.0	0.0	1.0	0.3
AC067	3	0.0	0.0	1.0	0.3
AC070	3	0.0	0.0	1.0	0.3
AC114	3	0.0	0.0	1.0	0.3
AC116	3	0.0	0.0	1.0	0.3
AC122	3	0.0	0.0	1.0	0.3
AC168	3	0.0	0.0	1.0	0.3
AC199	3	0.0	0.0	1.0	0.3
AC247	3	0.0	0.0	1.0	0.3
AC260	3	0.0	0.0	1.0	0.3
AC308	3	0.0	0.0	1.0	0.3
AC313	3	0.0	0.0	1.0	0.3
AC347	3	0.0	0.0	1.0	0.3
AC587	3	0.0	0.0	1.0	0.3
AC654	3	0.0	0.0	1.0	0.3
