backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AA957	0	0.0	0.0	1	1	1	1.0	False				
AD877	0	0.0	0.0	1	1	1	1.0	False				
AC783	0	0.0	0.0	1	1	1	1.0	False				
AC828	0	0.0	0.0	5	5	5	5.0	False				
AC381	0	0.0	0.041666666666666664	5	6	6	5.217391304347826	False				
AD486	0	0.0	0.057692307692307696	12	15	14	12.73469387755102	False				
AA800	9	0.36666666666666664	0.11666666666666667	19	26	23	21.50943396226415	False				
AA409	1	0.75	0.08771929824561403	6	11	9	6.5769230769230775	True	1.0	1.0	1.0	1.0
AG084	0	0.0	0.5	1	2	2	2.0	False				
AF742	0	0.0	0.0	4	4	4	4.0	False				
AC410	1	0.5	0.0	3	3	3	3.0	True	1.0	1.0	1.0	1.0
AF741	0	0.0	0.0	2	2	2	2.0	False				
AA896	0	1.0	0.25	3	6	5	4.0	False				
AF513	0	1.0	0.0	0	0	0	0.0	False				
AB604	0	0.0	0.0	3	3	3	3.0	False				
AC321	0	0.0	0.0379746835443038	12	15	14	12.473684210526315	False				
AC108	0	1.0	0.16666666666666666	5	7	6	6.0	False				
AC054	0	0.0	0.3333333333333333	2	3	3	3.0	False				
AC053	0	1.0	1.0	0	1	1	0.0	False				
AC056	1	0.0	0.0	2	2	2	2.0	True	0.0	0.0	0.0	0.0
AF103	0	1.0	0.2	3	4	4	3.75	False				
AB319	1	0.6666666666666666	0.36	3	12	8	4.6875	True	1.0	1.0	1.0	1.0
AE388	0	0.0	0.09523809523809523	7	9	8	7.7368421052631575	False				
AE665	0	1.0	0.3333333333333333	2	3	3	3.0	False				
AG753	0	0.0	0.0	2	2	2	2.0	False				
AA361	0	0.0	0.2857142857142857	3	5	4	4.199999999999999	False				
AA746	0	0.0	0.15789473684210525	6	9	8	7.125	False				
AD513	0	0.0	0.75	1	4	3	4.0	False				
AH421	0	0.0	0.0	1	1	1	1.0	False				
AE305	0	0.0	0.5	1	2	2	2.0	False				
AF316	0	0.0	0.0	1	1	1	1.0	False				
AF436	0	0.0	1.0	0	3	2	0.0	False				
AE075	1	0.5	0.0	3	3	3	3.0	True	1.0	1.0	1.0	1.0
AB859	1	0.5	0.07407407407407407	4	8	6	4.32	True	1.0	1.0	1.0	1.0
AF428	1	0.6666666666666666	0.15789473684210525	8	11	10	9.5	True	1.0	1.0	1.0	1.0
AE246	0	0.0	0.25	3	4	4	4.0	False				
AB360	0	0.0	0.6666666666666666	1	3	2	3.0	False				
AC073	0	0.0	0.25	5	7	6	6.666666666666666	False				
AD838	1	0.0	0.3076923076923077	2	6	4	2.888888888888889	True	0.0	1.0	1.0	0.0
AA036	0	1.0	0.10344827586206896	7	10	9	7.807692307692308	False				
AG696	0	0.0	0.3333333333333333	2	3	3	3.0	False				
AF599	0	0.0	0.0	2	2	2	2.0	False				
AE413	0	0.0	0.0	1	1	1	1.0	False				
AC707	0	0.0	0.0	3	3	3	3.0	False				
AC529	0	0.0	0.0	7	7	7	7.0	False				
