amr_drug_classes	high	low	prevalence_delta_high_minus_low
MONOBACTAM; CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; PENEM	0.0	0.00025731194785144526	-0.00025731194785144526
FLUOROQUINOLONE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	3.748266426777615e-05	0.0003001972724933528	-0.0002627146082255766
EFFLUX	0.00048727463548109	0.0007719358435543357	-0.0002846612080732457
MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC	3.748266426777615e-05	0.0003430825971352603	-0.00030559993286748415
AMINOCOUMARIN ANTIBIOTIC	0.0001499306570711046	0.0005146238957028905	-0.0003646932386317859
AMINOGLYCOSIDE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC	0.00018741332133888076	0.0006003945449867056	-0.00041298122364782485
FLUOROQUINOLONE ANTIBIOTIC; CEPHALOSPORIN; GLYCYLCYCLINE; PENAM; TETRACYCLINE ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC; PHENICOL ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.0002998613141422092	0.0008148211681962433	-0.000514959854054034
FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; PENAM; TETRACYCLINE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.0003748266426777615	0.0009434771421219659	-0.0005686504994442043
PHOSPHONIC ACID ANTIBIOTIC	0.001986581206192136	0.0025731194785144525	-0.0005865382723223163
PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN	0.002473855841673226	0.003559481945278326	-0.0010856261036050999
RIFAMYCIN ANTIBIOTIC	0.0007121706210877469	0.002058495582811562	-0.001346324961723815
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	0.0015367892349788222	0.003087743374217343	-0.0015509541392385207
FLUOROQUINOLONE ANTIBIOTIC; TETRACYCLINE ANTIBIOTIC	0.004572885040668691	0.007161849215198559	-0.002588964174529868
OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC	0.0007121706210877469	0.0033021699974268804	-0.0025899993763391334
MACROLIDE ANTIBIOTIC; TETRACYCLINE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.00048727463548109	0.003087743374217343	-0.002600468738736253
GLYCOPEPTIDE	0.0023988905131376737	0.007504931812333819	-0.005106041299196146
